Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,C,C,C,C,C,C,,
Date,,,,,,,,
2000-11-24 00:00:00+00:00,256.88446044921875,473.125,482.5,473.125,481.875,493680,CHIR,2000-11-24 to 2006-04-20
2000-11-27 00:00:00+00:00,257.5631408691406,474.375,483.75,473.125,481.25,1112090,CHIR,2000-11-24 to 2006-04-20
2000-11-28 00:00:00+00:00,258.58111572265625,476.25,489.375,470.625,474.375,1229220,CHIR,2000-11-24 to 2006-04-20
2000-11-29 00:00:00+00:00,268.42205810546875,494.375,498.125,476.25,481.25,1129110,CHIR,2000-11-24 to 2006-04-20
2000-11-30 00:00:00+00:00,270.458251953125,498.125,506.875,480.625,491.25,2204010,CHIR,2000-11-24 to 2006-04-20
2000-12-01 00:00:00+00:00,265.70758056640625,489.375,512.5,485.0,508.75,1325230,CHIR,2000-11-24 to 2006-04-20
2000-12-04 00:00:00+00:00,259.5992126464844,478.125,487.5,467.5,484.375,1669640,CHIR,2000-11-24 to 2006-04-20
2000-12-05 00:00:00+00:00,275.5484313964844,507.5,510.0,479.375,488.125,1797820,CHIR,2000-11-24 to 2006-04-20
2000-12-06 00:00:00+00:00,270.1190185546875,497.5,525.625,487.5,508.75,2296220,CHIR,2000-11-24 to 2006-04-20
2000-12-07 00:00:00+00:00,270.1190185546875,497.5,505.625,483.75,485.0,957890,CHIR,2000-11-24 to 2006-04-20
2000-12-08 00:00:00+00:00,279.62054443359375,515.0,524.375,504.375,504.375,1343700,CHIR,2000-11-24 to 2006-04-20
2000-12-11 00:00:00+00:00,287.0861511230469,528.75,532.5,520.0,524.375,1349610,CHIR,2000-11-24 to 2006-04-20
2000-12-12 00:00:00+00:00,285.7289123535156,526.25,528.125,516.25,526.875,1138370,CHIR,2000-11-24 to 2006-04-20
2000-12-13 00:00:00+00:00,287.7648010253906,530.0,536.875,516.875,530.0,1227410,CHIR,2000-11-24 to 2006-04-20
2000-12-14 00:00:00+00:00,275.5484313964844,507.5,519.375,503.75,513.75,1342750,CHIR,2000-11-24 to 2006-04-20
2000-12-15 00:00:00+00:00,260.9564208984375,480.625,507.5,480.625,498.125,2604500,CHIR,2000-11-24 to 2006-04-20
2000-12-18 00:00:00+00:00,268.08270263671875,493.75,503.125,491.875,492.5,1700980,CHIR,2000-11-24 to 2006-04-20
2000-12-19 00:00:00+00:00,272.8337097167969,502.5,510.0,490.0,494.375,2484740,CHIR,2000-11-24 to 2006-04-20
2000-12-20 00:00:00+00:00,260.6173095703125,480.0,500.0,476.875,496.25,1608050,CHIR,2000-11-24 to 2006-04-20
2000-12-21 00:00:00+00:00,264.6894836425781,487.5,495.0,472.5,478.75,1567150,CHIR,2000-11-24 to 2006-04-20
2000-12-22 00:00:00+00:00,271.8155517578125,500.625,503.75,488.75,496.875,1007610,CHIR,2000-11-24 to 2006-04-20
2000-12-26 00:00:00+00:00,276.5663757324219,509.375,514.375,506.875,509.375,725720,CHIR,2000-11-24 to 2006-04-20
2000-12-27 00:00:00+00:00,276.22711181640625,508.75,512.5,498.125,498.125,899150,CHIR,2000-11-24 to 2006-04-20
2000-12-28 00:00:00+00:00,278.2632751464844,512.5,520.625,510.625,515.625,978930,CHIR,2000-11-24 to 2006-04-20
2000-12-29 00:00:00+00:00,277.2452087402344,510.625,521.875,510.0,517.5,931420,CHIR,2000-11-24 to 2006-04-20
2001-01-02 00:00:00+00:00,274.1911315917969,505.0,518.75,500.625,517.5,1324690,CHIR,2000-11-24 to 2006-04-20
2001-01-03 00:00:00+00:00,298.2845764160156,549.375,550.0,503.75,505.0,3399110,CHIR,2000-11-24 to 2006-04-20
2001-01-04 00:00:00+00:00,302.35675048828125,556.875,573.75,549.375,551.25,2825980,CHIR,2000-11-24 to 2006-04-20
2001-01-05 00:00:00+00:00,291.49774169921875,536.875,555.625,525.0,552.5,2292640,CHIR,2000-11-24 to 2006-04-20
2001-01-08 00:00:00+00:00,289.80096435546875,533.75,541.25,527.5,536.25,1213830,CHIR,2000-11-24 to 2006-04-20
2001-01-09 00:00:00+00:00,283.3533630371094,521.875,538.125,521.25,533.75,1328900,CHIR,2000-11-24 to 2006-04-20
2001-01-10 00:00:00+00:00,292.85498046875,539.375,543.75,518.75,520.625,1526410,CHIR,2000-11-24 to 2006-04-20
2001-01-11 00:00:00+00:00,298.6239318847656,550.0,553.125,537.5,540.0,1390300,CHIR,2000-11-24 to 2006-04-20
2001-01-12 00:00:00+00:00,288.4435119628906,531.25,548.125,523.125,547.5,1345940,CHIR,2000-11-24 to 2006-04-20
2001-01-16 00:00:00+00:00,296.92718505859375,546.875,548.75,520.0,525.625,1479140,CHIR,2000-11-24 to 2006-04-20
