Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,C,C,C,C,C,C,,
Date,,,,,,,,
2004-10-27 00:00:00+00:00,277.525634765625,439.5,440.0,430.79998779296875,433.5,1761910,CITGQ,2004-10-27 to 2009-07-27
2004-10-28 00:00:00+00:00,282.0501708984375,442.6000061035156,444.6000061035156,435.1000061035156,436.5,1505390,CITGQ,2004-10-27 to 2009-07-27
2004-10-29 00:00:00+00:00,282.7511291503906,443.70001220703125,445.6000061035156,441.3999938964844,444.0,1299330,CITGQ,2004-10-27 to 2009-07-27
2004-11-01 00:00:00+00:00,282.3687744140625,443.1000061035156,446.0,442.1000061035156,444.5,1343790,CITGQ,2004-10-27 to 2009-07-27
2004-11-02 00:00:00+00:00,286.1285400390625,449.0,449.8999938964844,443.1000061035156,443.1000061035156,1641420,CITGQ,2004-10-27 to 2009-07-27
2004-11-03 00:00:00+00:00,288.61395263671875,452.8999938964844,456.5,450.79998779296875,456.1000061035156,1538410,CITGQ,2004-10-27 to 2009-07-27
2004-11-04 00:00:00+00:00,293.7120361328125,460.8999938964844,461.20001220703125,451.0,453.1000061035156,1412080,CITGQ,2004-10-27 to 2009-07-27
2004-11-05 00:00:00+00:00,293.96685791015625,461.29998779296875,464.70001220703125,457.20001220703125,462.79998779296875,1646200,CITGQ,2004-10-27 to 2009-07-27
2004-11-08 00:00:00+00:00,294.7315673828125,462.5,462.8999938964844,459.3999938964844,461.29998779296875,1019070,CITGQ,2004-10-27 to 2009-07-27
2004-11-09 00:00:00+00:00,294.4766845703125,462.1000061035156,465.70001220703125,460.70001220703125,462.5,1090260,CITGQ,2004-10-27 to 2009-07-27
2004-11-10 00:00:00+00:00,293.45709228515625,460.5,462.79998779296875,458.5,461.5,1121790,CITGQ,2004-10-27 to 2009-07-27
2004-11-11 00:00:00+00:00,294.7953186035156,462.6000061035156,463.8999938964844,459.1000061035156,462.0,1108410,CITGQ,2004-10-27 to 2009-07-27
2004-11-12 00:00:00+00:00,299.9571228027344,470.70001220703125,470.8999938964844,462.0,462.0,1632170,CITGQ,2004-10-27 to 2009-07-27
2004-11-15 00:00:00+00:00,297.40802001953125,466.70001220703125,471.0,465.5,470.0,1379240,CITGQ,2004-10-27 to 2009-07-27
2004-11-16 00:00:00+00:00,293.45709228515625,460.5,464.5,459.0,461.70001220703125,1766140,CITGQ,2004-10-27 to 2009-07-27
2004-11-17 00:00:00+00:00,294.2855529785156,461.79998779296875,466.1000061035156,460.0,461.79998779296875,1980000,CITGQ,2004-10-27 to 2009-07-27
2004-11-18 00:00:00+00:00,292.5649108886719,459.1000061035156,462.8999938964844,459.1000061035156,462.0,1612750,CITGQ,2004-10-27 to 2009-07-27
2004-11-19 00:00:00+00:00,287.7217712402344,451.5,460.70001220703125,450.29998779296875,460.70001220703125,2328780,CITGQ,2004-10-27 to 2009-07-27
2004-11-22 00:00:00+00:00,287.8492431640625,451.70001220703125,454.79998779296875,450.29998779296875,452.5,1490100,CITGQ,2004-10-27 to 2009-07-27
2004-11-23 00:00:00+00:00,288.1040954589844,452.1000061035156,453.70001220703125,449.3999938964844,453.0,1482610,CITGQ,2004-10-27 to 2009-07-27
2004-11-24 00:00:00+00:00,290.0796203613281,455.20001220703125,456.0,453.1000061035156,454.5,1122960,CITGQ,2004-10-27 to 2009-07-27
2004-11-26 00:00:00+00:00,289.4422607421875,454.20001220703125,455.79998779296875,454.0,455.5,532100,CITGQ,2004-10-27 to 2009-07-27
2004-11-29 00:00:00+00:00,286.5108642578125,449.6000061035156,455.79998779296875,448.5,454.29998779296875,1553360,CITGQ,2004-10-27 to 2009-07-27
2004-11-30 00:00:00+00:00,285.17266845703125,447.5,450.20001220703125,446.0,449.70001220703125,1485640,CITGQ,2004-10-27 to 2009-07-27
2004-12-01 00:00:00+00:00,292.7559814453125,459.3999938964844,459.8999938964844,449.29998779296875,450.29998779296875,1536740,CITGQ,2004-10-27 to 2009-07-27
2004-12-02 00:00:00+00:00,291.6090087890625,457.6000061035156,462.0,456.5,457.5,1357650,CITGQ,2004-10-27 to 2009-07-27
2004-12-03 00:00:00+00:00,290.907958984375,456.5,459.6000061035156,454.79998779296875,455.20001220703125,1517470,CITGQ,2004-10-27 to 2009-07-27
2004-12-06 00:00:00+00:00,294.2217102050781,461.70001220703125,462.79998779296875,455.5,456.6000061035156,1418360,CITGQ,2004-10-27 to 2009-07-27
2004-12-07 00:00:00+00:00,293.138427734375,460.0,464.8999938964844,460.0,463.5,1360360,CITGQ,2004-10-27 to 2009-07-27
2004-12-08 00:00:00+00:00,294.9865417480469,462.8999938964844,463.29998779296875,459.0,462.1000061035156,1361460,CITGQ,2004-10-27 to 2009-07-27
