Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,M,M,M,M,M,M,,
Date,,,,,,,,
1996-01-02 00:00:00+00:00,7.896862983703613,14.375,14.375,13.75,13.75,1866000,MRK,1996-01-02 to None
1996-01-03 00:00:00+00:00,7.725192070007324,14.0625,14.375,13.9375,14.375,2322000,MRK,1996-01-02 to None
1996-01-04 00:00:00+00:00,7.690859317779541,14.0,14.1875,13.875,14.1875,1955000,MRK,1996-01-02 to None
1996-01-05 00:00:00+00:00,7.622187614440918,13.875,14.125,13.875,14.0,1380200,MRK,1996-01-02 to None
1996-01-08 00:00:00+00:00,7.656521797180176,13.9375,13.9375,13.8125,13.8125,395200,MRK,1996-01-02 to None
1996-01-09 00:00:00+00:00,7.690859317779541,14.0,14.0,13.8125,13.9375,1182400,MRK,1996-01-02 to None
1996-01-10 00:00:00+00:00,7.587856292724609,13.8125,14.0,13.8125,13.8125,1097600,MRK,1996-01-02 to None
1996-01-11 00:00:00+00:00,7.4848480224609375,13.625,13.9375,13.5625,13.9375,1253600,MRK,1996-01-02 to None
1996-01-12 00:00:00+00:00,7.622187614440918,13.875,13.875,13.6875,13.8125,997200,MRK,1996-01-02 to None
1996-01-15 00:00:00+00:00,7.4161810874938965,13.5,13.8125,13.4375,13.75,1242800,MRK,1996-01-02 to None
1996-01-16 00:00:00+00:00,7.381850719451904,13.4375,13.6875,13.3125,13.6875,992000,MRK,1996-01-02 to None
1996-01-17 00:00:00+00:00,7.141509056091309,13.0,13.3125,12.875,13.25,2905200,MRK,1996-01-02 to None
1996-01-18 00:00:00+00:00,7.141509056091309,13.0,13.25,12.75,13.25,2140400,MRK,1996-01-02 to None
1996-01-19 00:00:00+00:00,7.072841644287109,12.875,12.9375,12.5,12.875,3770800,MRK,1996-01-02 to None
1996-01-22 00:00:00+00:00,7.210174560546875,13.125,13.125,12.6875,12.9375,1776400,MRK,1996-01-02 to None
1996-01-23 00:00:00+00:00,7.313179969787598,13.3125,13.5,13.125,13.125,1632800,MRK,1996-01-02 to None
1996-01-24 00:00:00+00:00,7.210174560546875,13.125,13.3125,13.0625,13.25,2324000,MRK,1996-01-02 to None
1996-01-25 00:00:00+00:00,7.10717248916626,12.9375,13.09375,12.75,13.0625,2609400,MRK,1996-01-02 to None
1996-01-26 00:00:00+00:00,7.10717248916626,12.9375,13.0625,12.75,13.0625,1376000,MRK,1996-01-02 to None
1996-01-29 00:00:00+00:00,7.175846099853516,13.0625,13.0625,12.875,12.9375,2306600,MRK,1996-01-02 to None
1996-01-30 00:00:00+00:00,7.210174560546875,13.125,13.3125,13.0,13.1875,2182800,MRK,1996-01-02 to None
1996-01-31 00:00:00+00:00,7.4161810874938965,13.5,13.5,12.9375,13.1875,5183600,MRK,1996-01-02 to None
1996-02-01 00:00:00+00:00,7.381850719451904,13.4375,13.5625,13.3125,13.375,3429000,MRK,1996-01-02 to None
1996-02-02 00:00:00+00:00,7.278846740722656,13.25,13.5,13.1875,13.4375,1185000,MRK,1996-01-02 to None
1996-02-05 00:00:00+00:00,7.210174560546875,13.125,13.25,13.0625,13.1875,1575800,MRK,1996-01-02 to None
1996-02-06 00:00:00+00:00,7.4161810874938965,13.5,13.625,13.125,13.125,3427800,MRK,1996-01-02 to None
1996-02-07 00:00:00+00:00,7.5191850662231445,13.6875,13.6875,13.375,13.375,4270000,MRK,1996-01-02 to None
1996-02-08 00:00:00+00:00,7.450516223907471,13.5625,13.75,13.4375,13.75,2377000,MRK,1996-01-02 to None
1996-02-09 00:00:00+00:00,7.622187614440918,13.875,13.9375,13.625,13.6875,3772800,MRK,1996-01-02 to None
1996-02-12 00:00:00+00:00,7.725192070007324,14.0625,14.125,13.8125,13.8125,3606600,MRK,1996-01-02 to None
1996-02-13 00:00:00+00:00,7.725192070007324,14.0625,14.125,13.9375,14.0,3679400,MRK,1996-01-02 to None
1996-02-14 00:00:00+00:00,7.725192070007324,14.0625,14.125,13.9375,14.0,4035800,MRK,1996-01-02 to None
1996-02-15 00:00:00+00:00,7.656521797180176,13.9375,14.0625,13.8125,14.0,3524800,MRK,1996-01-02 to None
1996-02-16 00:00:00+00:00,7.622187614440918,13.875,13.875,13.75,13.8125,925600,MRK,1996-01-02 to None
1996-02-20 00:00:00+00:00,7.656521797180176,13.9375,14.0,13.625,13.6875,1735800,MRK,1996-01-02 to None
1996-02-21 00:00:00+00:00,7.759523868560791,14.125,14.1875,13.9375,13.9375,1946800,MRK,1996-01-02 to None
1996-02-22 00:00:00+00:00,7.999861240386963,14.5625,14.5625,14.0625,14.125,3436800,MRK,1996-01-02 to None
1996-02-23 00:00:00+00:00,8.30887222290039,15.125,15.1875,14.5,14.5,5656000,MRK,1996-01-02 to None
1996-02-26 00:00:00+00:00,8.446207046508789,15.375,15.6875,14.9375,14.9375,4788200,MRK,1996-01-02 to None
1996-02-27 00:00:00+00:00,8.240203857421875,15.0,15.25,14.875,15.25,3164400,MRK,1996-01-02 to None
1996-02-28 00:00:00+00:00,8.377542495727539,15.25,15.375,15.0,15.0625,2422000,MRK,1996-01-02 to None
1996-02-29 00:00:00+00:00,8.30887222290039,15.125,15.375,15.0625,15.125,1488400,MRK,1996-01-02 to None
1996-03-01 00:00:00+00:00,8.583544731140137,15.625,15.8125,15.25,15.25,5768200,MRK,1996-01-02 to None
1996-03-04 00:00:00+00:00,9.098556518554688,16.5625,16.75,15.6875,15.6875,8477000,MRK,1996-01-02 to None
1996-03-05 00:00:00+00:00,9.304559707641602,16.9375,17.0625,16.5625,16.5625,6631000,MRK,1996-01-02 to None
1996-03-06 00:00:00+00:00,9.20156192779541,16.75,16.875,16.6875,16.875,2631600,MRK,1996-01-02 to None
1996-03-07 00:00:00+00:00,8.99555778503418,16.375,16.5625,16.3125,16.4375,2988000,MRK,1996-01-02 to None
1996-03-08 00:00:00+00:00,8.823883056640625,16.0625,16.625,16.0,16.125,3251400,MRK,1996-01-02 to None
1996-03-11 00:00:00+00:00,9.029887199401855,16.4375,16.4375,15.90625,16.0,3145200,MRK,1996-01-02 to None
1996-03-12 00:00:00+00:00,9.20156192779541,16.75,17.0,16.375,16.4375,4583200,MRK,1996-01-02 to None
1996-03-13 00:00:00+00:00,9.270228385925293,16.875,16.875,16.6875,16.8125,3379000,MRK,1996-01-02 to None
1996-03-14 00:00:00+00:00,9.132892608642578,16.625,16.8125,16.5625,16.8125,2673800,MRK,1996-01-02 to None
1996-03-15 00:00:00+00:00,9.029887199401855,16.4375,16.5625,16.25,16.5,2241000,MRK,1996-01-02 to None
1996-03-18 00:00:00+00:00,9.098556518554688,16.5625,16.625,16.25,16.3125,2243200,MRK,1996-01-02 to None
1996-03-19 00:00:00+00:00,8.961222648620605,16.3125,16.625,16.125,16.5625,1873400,MRK,1996-01-02 to None
1996-03-20 00:00:00+00:00,9.132892608642578,16.625,16.625,16.25,16.4375,1430600,MRK,1996-01-02 to None
1996-03-21 00:00:00+00:00,9.098556518554688,16.5625,16.8125,16.375,16.8125,1584600,MRK,1996-01-02 to None
1996-03-22 00:00:00+00:00,9.098556518554688,16.5625,16.6875,16.4375,16.6875,531800,MRK,1996-01-02 to None
1996-03-25 00:00:00+00:00,9.064226150512695,16.5,16.75,16.4375,16.75,1594400,MRK,1996-01-02 to None
1996-03-26 00:00:00+00:00,8.892558097839355,16.1875,16.5,16.0625,16.4375,1350800,MRK,1996-01-02 to None
1996-03-27 00:00:00+00:00,8.892558097839355,16.1875,16.4375,16.125,16.375,828800,MRK,1996-01-02 to None
1996-03-28 00:00:00+00:00,8.961222648620605,16.3125,16.3125,16.0625,16.0625,1090000,MRK,1996-01-02 to None
1996-03-29 00:00:00+00:00,8.858216285705566,16.125,16.5625,16.125,16.375,1483000,MRK,1996-01-02 to None
