Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,R,R,R,R,R,R,,
Date,,,,,,,,
1996-01-02 00:00:00+00:00,12.41018009185791,25.25,25.25,24.5,24.5,208100,RAD,1996-01-02 to 2000-07-27
1996-01-03 00:00:00+00:00,12.41018009185791,25.25,25.4375,25.0,25.25,205800,RAD,1996-01-02 to 2000-07-27
1996-01-04 00:00:00+00:00,12.164430618286133,24.75,25.25,24.375,25.25,234200,RAD,1996-01-02 to 2000-07-27
1996-01-05 00:00:00+00:00,12.041555404663086,24.5,24.875,24.25,24.875,237500,RAD,1996-01-02 to 2000-07-27
1996-01-08 00:00:00+00:00,12.041555404663086,24.5,24.5,24.125,24.5,72200,RAD,1996-01-02 to 2000-07-27
1996-01-09 00:00:00+00:00,12.041555404663086,24.5,24.625,24.5,24.625,111500,RAD,1996-01-02 to 2000-07-27
1996-01-10 00:00:00+00:00,11.91869068145752,24.25,24.375,24.0,24.125,228700,RAD,1996-01-02 to 2000-07-27
1996-01-11 00:00:00+00:00,11.857250213623047,24.125,24.375,24.125,24.25,152000,RAD,1996-01-02 to 2000-07-27
1996-01-12 00:00:00+00:00,11.91869068145752,24.25,24.25,23.875,24.125,156200,RAD,1996-01-02 to 2000-07-27
1996-01-15 00:00:00+00:00,11.91869068145752,24.25,24.375,23.75,24.25,30000,RAD,1996-01-02 to 2000-07-27
1996-01-16 00:00:00+00:00,11.734376907348633,23.875,24.375,23.625,24.375,61800,RAD,1996-01-02 to 2000-07-27
1996-01-17 00:00:00+00:00,11.61150074005127,23.625,24.0,23.625,23.875,110000,RAD,1996-01-02 to 2000-07-27
1996-01-18 00:00:00+00:00,11.550065994262695,23.5,23.875,23.25,23.875,86800,RAD,1996-01-02 to 2000-07-27
1996-01-19 00:00:00+00:00,11.365756034851074,23.125,23.5,23.0,23.125,180800,RAD,1996-01-02 to 2000-07-27
1996-01-22 00:00:00+00:00,11.365756034851074,23.125,23.625,23.125,23.25,172400,RAD,1996-01-02 to 2000-07-27
1996-01-23 00:00:00+00:00,11.30431842803955,23.0,23.5,23.0,23.25,262400,RAD,1996-01-02 to 2000-07-27
1996-01-24 00:00:00+00:00,11.30431842803955,23.0,23.25,22.875,23.0,80000,RAD,1996-01-02 to 2000-07-27
1996-01-25 00:00:00+00:00,11.242887496948242,22.875,23.125,22.75,23.0,102400,RAD,1996-01-02 to 2000-07-27
1996-01-26 00:00:00+00:00,11.242887496948242,22.875,23.0,22.625,22.75,81000,RAD,1996-01-02 to 2000-07-27
1996-01-29 00:00:00+00:00,11.365756034851074,23.125,23.125,22.875,22.875,88300,RAD,1996-01-02 to 2000-07-27
1996-01-30 00:00:00+00:00,11.365756034851074,23.125,23.25,23.0,23.25,164500,RAD,1996-01-02 to 2000-07-27
1996-01-31 00:00:00+00:00,11.488628387451172,23.375,23.625,23.25,23.25,476200,RAD,1996-01-02 to 2000-07-27
1996-02-01 00:00:00+00:00,11.795811653137207,24.0,24.125,23.375,23.5,178500,RAD,1996-01-02 to 2000-07-27
1996-02-02 00:00:00+00:00,11.857250213623047,24.125,24.375,24.0,24.0,155300,RAD,1996-01-02 to 2000-07-27
1996-02-05 00:00:00+00:00,12.164430618286133,24.75,24.75,24.0,24.0,171200,RAD,1996-01-02 to 2000-07-27
1996-02-06 00:00:00+00:00,12.41018009185791,25.25,25.25,24.75,25.0,651400,RAD,1996-01-02 to 2000-07-27
1996-02-07 00:00:00+00:00,12.533049583435059,25.5,25.5,25.25,25.375,489500,RAD,1996-01-02 to 2000-07-27
1996-02-08 00:00:00+00:00,12.65592098236084,25.75,25.75,25.5,25.5,185700,RAD,1996-01-02 to 2000-07-27
1996-02-09 00:00:00+00:00,13.147406578063965,26.75,26.75,25.75,25.75,341100,RAD,1996-01-02 to 2000-07-27
1996-02-12 00:00:00+00:00,13.208852767944336,26.875,27.0,26.625,26.875,299000,RAD,1996-01-02 to 2000-07-27
1996-02-13 00:00:00+00:00,13.024545669555664,26.5,26.75,26.375,26.625,324400,RAD,1996-01-02 to 2000-07-27
1996-02-14 00:00:00+00:00,13.270291328430176,27.0,27.5,26.875,26.875,531300,RAD,1996-01-02 to 2000-07-27
1996-02-15 00:00:00+00:00,13.270291328430176,27.0,27.5,27.0,27.375,245700,RAD,1996-01-02 to 2000-07-27
1996-02-16 00:00:00+00:00,13.147406578063965,26.75,26.875,26.375,26.875,138400,RAD,1996-01-02 to 2000-07-27
1996-02-20 00:00:00+00:00,12.594486236572266,25.625,26.375,25.375,26.25,782900,RAD,1996-01-02 to 2000-07-27
1996-02-21 00:00:00+00:00,12.778793334960938,26.0,26.0,25.5,25.5,441400,RAD,1996-01-02 to 2000-07-27
1996-02-22 00:00:00+00:00,12.9016695022583,26.25,26.375,25.875,26.0,479000,RAD,1996-01-02 to 2000-07-27
1996-02-23 00:00:00+00:00,13.085982322692871,26.625,27.0,26.375,26.5,269000,RAD,1996-01-02 to 2000-07-27
1996-02-26 00:00:00+00:00,13.085982322692871,26.625,26.625,26.125,26.375,289300,RAD,1996-01-02 to 2000-07-27
1996-02-27 00:00:00+00:00,12.65592098236084,25.75,26.625,25.75,26.625,911800,RAD,1996-01-02 to 2000-07-27
1996-02-28 00:00:00+00:00,12.225865364074707,24.875,25.875,24.875,25.875,401200,RAD,1996-01-02 to 2000-07-27
1996-02-29 00:00:00+00:00,12.333382606506348,25.09375,25.25,24.875,24.875,1137400,RAD,1996-01-02 to 2000-07-27
1996-03-01 00:00:00+00:00,12.594486236572266,25.625,25.75,25.25,25.375,682700,RAD,1996-01-02 to 2000-07-27
1996-03-04 00:00:00+00:00,13.331722259521484,27.125,27.25,25.75,25.75,1149400,RAD,1996-01-02 to 2000-07-27
1996-03-05 00:00:00+00:00,13.282299041748047,26.875,27.125,26.75,26.875,479600,RAD,1996-01-02 to 2000-07-27
1996-03-06 00:00:00+00:00,13.529415130615234,27.375,27.875,26.75,26.875,382500,RAD,1996-01-02 to 2000-07-27
1996-03-07 00:00:00+00:00,13.467636108398438,27.25,27.625,27.125,27.625,267600,RAD,1996-01-02 to 2000-07-27
1996-03-08 00:00:00+00:00,13.220520973205566,26.75,27.25,26.625,27.125,141200,RAD,1996-01-02 to 2000-07-27
1996-03-11 00:00:00+00:00,13.40585994720459,27.125,27.375,26.375,26.625,454600,RAD,1996-01-02 to 2000-07-27
1996-03-12 00:00:00+00:00,13.344079971313477,27.0,27.0,26.25,26.875,695600,RAD,1996-01-02 to 2000-07-27
1996-03-13 00:00:00+00:00,13.344079971313477,27.0,27.125,26.875,27.125,211900,RAD,1996-01-02 to 2000-07-27
1996-03-14 00:00:00+00:00,13.282299041748047,26.875,27.125,26.75,27.0,303100,RAD,1996-01-02 to 2000-07-27
1996-03-15 00:00:00+00:00,13.529415130615234,27.375,27.625,26.875,26.875,285100,RAD,1996-01-02 to 2000-07-27
1996-03-18 00:00:00+00:00,14.208975791931152,28.75,29.125,27.375,27.5,318000,RAD,1996-01-02 to 2000-07-27
1996-03-19 00:00:00+00:00,13.714755058288574,27.75,28.375,27.75,28.25,396500,RAD,1996-01-02 to 2000-07-27
1996-03-20 00:00:00+00:00,13.529415130615234,27.375,27.75,27.125,27.75,270100,RAD,1996-01-02 to 2000-07-27
1996-03-21 00:00:00+00:00,13.344079971313477,27.0,27.375,26.875,27.375,349000,RAD,1996-01-02 to 2000-07-27
1996-03-22 00:00:00+00:00,13.591194152832031,27.5,27.5,26.5,27.0,1195300,RAD,1996-01-02 to 2000-07-27
1996-03-25 00:00:00+00:00,13.40585994720459,27.125,27.5,26.875,27.5,213600,RAD,1996-01-02 to 2000-07-27
1996-03-26 00:00:00+00:00,13.344079971313477,27.0,27.125,26.75,27.0,320900,RAD,1996-01-02 to 2000-07-27
1996-03-27 00:00:00+00:00,13.529415130615234,27.375,27.375,27.0,27.0,729800,RAD,1996-01-02 to 2000-07-27
1996-03-28 00:00:00+00:00,13.40585994720459,27.125,27.25,27.125,27.25,105100,RAD,1996-01-02 to 2000-07-27
1996-03-29 00:00:00+00:00,13.467636108398438,27.25,27.375,27.0,27.125,193900,RAD,1996-01-02 to 2000-07-27
1996-04-01 00:00:00+00:00,13.529415130615234,27.375,27.5,26.875,27.375,169400,RAD,1996-01-02 to 2000-07-27
1996-04-02 00:00:00+00:00,13.40585994720459,27.125,27.375,27.0,27.375,193200,RAD,1996-01-02 to 2000-07-27
1996-04-03 00:00:00+00:00,13.09697437286377,26.5,27.0,26.25,27.0,375700,RAD,1996-01-02 to 2000-07-27
1996-04-04 00:00:00+00:00,13.282299041748047,26.875,26.875,26.5,26.625,168600,RAD,1996-01-02 to 2000-07-27
1996-04-08 00:00:00+00:00,13.035197257995605,26.375,26.375,25.875,26.375,170200,RAD,1996-01-02 to 2000-07-27
1996-04-09 00:00:00+00:00,13.09697437286377,26.5,26.5,26.25,26.375,127100,RAD,1996-01-02 to 2000-07-27
1996-04-10 00:00:00+00:00,13.09697437286377,26.5,26.5,26.25,26.375,335000,RAD,1996-01-02 to 2000-07-27
1996-04-11 00:00:00+00:00,12.911638259887695,26.125,26.5625,25.75,26.5,351800,RAD,1996-01-02 to 2000-07-27
1996-04-12 00:00:00+00:00,13.09697437286377,26.5,26.5,26.125,26.125,261900,RAD,1996-01-02 to 2000-07-27
1996-04-15 00:00:00+00:00,13.591194152832031,27.5,27.5,26.875,27.0,511100,RAD,1996-01-02 to 2000-07-27
1996-04-16 00:00:00+00:00,13.776528358459473,27.875,28.375,27.75,28.125,448600,RAD,1996-01-02 to 2000-07-27
1996-04-17 00:00:00+00:00,13.961859703063965,28.25,28.25,27.375,27.875,1038100,RAD,1996-01-02 to 2000-07-27
1996-04-18 00:00:00+00:00,14.14719295501709,28.625,28.875,28.125,28.375,323300,RAD,1996-01-02 to 2000-07-27
1996-04-19 00:00:00+00:00,14.085420608520508,28.5,28.875,28.375,28.625,419600,RAD,1996-01-02 to 2000-07-27
1996-04-22 00:00:00+00:00,13.838310241699219,28.0,28.5,27.75,28.5,431200,RAD,1996-01-02 to 2000-07-27
1996-04-23 00:00:00+00:00,14.208975791931152,28.75,28.875,28.0,28.0,398500,RAD,1996-01-02 to 2000-07-27
1996-04-24 00:00:00+00:00,14.579636573791504,29.5,29.5,28.625,28.625,374000,RAD,1996-01-02 to 2000-07-27
1996-04-25 00:00:00+00:00,14.208975791931152,28.75,29.25,28.5625,29.25,237500,RAD,1996-01-02 to 2000-07-27
1996-04-26 00:00:00+00:00,14.208975791931152,28.75,29.0,28.75,28.75,188700,RAD,1996-01-02 to 2000-07-27
1996-04-29 00:00:00+00:00,14.270750999450684,28.875,29.0,28.75,28.875,94400,RAD,1996-01-02 to 2000-07-27
1996-04-30 00:00:00+00:00,14.270750999450684,28.875,29.125,28.75,28.875,403100,RAD,1996-01-02 to 2000-07-27
1996-05-01 00:00:00+00:00,14.394301414489746,29.125,29.125,28.875,29.0,295200,RAD,1996-01-02 to 2000-07-27
1996-05-02 00:00:00+00:00,14.33253288269043,29.0,29.125,28.625,29.125,316400,RAD,1996-01-02 to 2000-07-27
1996-05-03 00:00:00+00:00,14.14719295501709,28.625,28.875,28.375,28.875,592600,RAD,1996-01-02 to 2000-07-27
1996-05-06 00:00:00+00:00,14.14719295501709,28.625,28.625,28.375,28.5,236600,RAD,1996-01-02 to 2000-07-27
1996-05-07 00:00:00+00:00,14.085420608520508,28.5,28.5,28.25,28.5,390800,RAD,1996-01-02 to 2000-07-27
1996-05-08 00:00:00+00:00,14.085420608520508,28.5,28.5,28.25,28.375,221700,RAD,1996-01-02 to 2000-07-27
1996-05-09 00:00:00+00:00,13.961859703063965,28.25,28.5,28.125,28.375,365900,RAD,1996-01-02 to 2000-07-27
1996-05-10 00:00:00+00:00,13.961859703063965,28.25,28.375,28.125,28.375,593900,RAD,1996-01-02 to 2000-07-27
1996-05-13 00:00:00+00:00,14.085420608520508,28.5,28.5,28.125,28.25,196400,RAD,1996-01-02 to 2000-07-27
1996-05-14 00:00:00+00:00,14.085420608520508,28.5,28.5,28.375,28.5,390700,RAD,1996-01-02 to 2000-07-27
1996-05-15 00:00:00+00:00,14.33253288269043,29.0,29.125,28.375,28.5,424100,RAD,1996-01-02 to 2000-07-27
1996-05-16 00:00:00+00:00,14.33253288269043,29.0,29.0,28.75,28.75,373400,RAD,1996-01-02 to 2000-07-27
1996-05-17 00:00:00+00:00,14.33253288269043,29.0,29.125,29.0,29.0,273200,RAD,1996-01-02 to 2000-07-27
