Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Time Frame
Ticker,R,R,R,R,R,R,,
Date,,,,,,,,
1996-01-02 00:00:00+00:00,12.410173416137695,25.25,25.25,24.5,24.5,208100,RML,1996-01-02 to 2000-12-12
1996-01-03 00:00:00+00:00,12.410173416137695,25.25,25.4375,25.0,25.25,205800,RML,1996-01-02 to 2000-12-12
1996-01-04 00:00:00+00:00,12.164426803588867,24.75,25.25,24.375,25.25,234200,RML,1996-01-02 to 2000-12-12
1996-01-05 00:00:00+00:00,12.041557312011719,24.5,24.875,24.25,24.875,237500,RML,1996-01-02 to 2000-12-12
1996-01-08 00:00:00+00:00,12.041557312011719,24.5,24.5,24.125,24.5,72200,RML,1996-01-02 to 2000-12-12
1996-01-09 00:00:00+00:00,12.041557312011719,24.5,24.625,24.5,24.625,111500,RML,1996-01-02 to 2000-12-12
1996-01-10 00:00:00+00:00,11.918693542480469,24.25,24.375,24.0,24.125,228700,RML,1996-01-02 to 2000-12-12
1996-01-11 00:00:00+00:00,11.857250213623047,24.125,24.375,24.125,24.25,152000,RML,1996-01-02 to 2000-12-12
1996-01-12 00:00:00+00:00,11.918693542480469,24.25,24.25,23.875,24.125,156200,RML,1996-01-02 to 2000-12-12
1996-01-15 00:00:00+00:00,11.918693542480469,24.25,24.375,23.75,24.25,30000,RML,1996-01-02 to 2000-12-12
1996-01-16 00:00:00+00:00,11.734370231628418,23.875,24.375,23.625,24.375,61800,RML,1996-01-02 to 2000-12-12
1996-01-17 00:00:00+00:00,11.611505508422852,23.625,24.0,23.625,23.875,110000,RML,1996-01-02 to 2000-12-12
1996-01-18 00:00:00+00:00,11.550066947937012,23.5,23.875,23.25,23.875,86800,RML,1996-01-02 to 2000-12-12
1996-01-19 00:00:00+00:00,11.365750312805176,23.125,23.5,23.0,23.125,180800,RML,1996-01-02 to 2000-12-12
1996-01-22 00:00:00+00:00,11.365750312805176,23.125,23.625,23.125,23.25,172400,RML,1996-01-02 to 2000-12-12
1996-01-23 00:00:00+00:00,11.304319381713867,23.0,23.5,23.0,23.25,262400,RML,1996-01-02 to 2000-12-12
1996-01-24 00:00:00+00:00,11.304319381713867,23.0,23.25,22.875,23.0,80000,RML,1996-01-02 to 2000-12-12
1996-01-25 00:00:00+00:00,11.242881774902344,22.875,23.125,22.75,23.0,102400,RML,1996-01-02 to 2000-12-12
1996-01-26 00:00:00+00:00,11.242881774902344,22.875,23.0,22.625,22.75,81000,RML,1996-01-02 to 2000-12-12
1996-01-29 00:00:00+00:00,11.365750312805176,23.125,23.125,22.875,22.875,88300,RML,1996-01-02 to 2000-12-12
1996-01-30 00:00:00+00:00,11.365750312805176,23.125,23.25,23.0,23.25,164500,RML,1996-01-02 to 2000-12-12
1996-01-31 00:00:00+00:00,11.488631248474121,23.375,23.625,23.25,23.25,476200,RML,1996-01-02 to 2000-12-12
1996-02-01 00:00:00+00:00,11.795816421508789,24.0,24.125,23.375,23.5,178500,RML,1996-01-02 to 2000-12-12
1996-02-02 00:00:00+00:00,11.857250213623047,24.125,24.375,24.0,24.0,155300,RML,1996-01-02 to 2000-12-12
1996-02-05 00:00:00+00:00,12.164426803588867,24.75,24.75,24.0,24.0,171200,RML,1996-01-02 to 2000-12-12
1996-02-06 00:00:00+00:00,12.410173416137695,25.25,25.25,24.75,25.0,651400,RML,1996-01-02 to 2000-12-12
1996-02-07 00:00:00+00:00,12.533052444458008,25.5,25.5,25.25,25.375,489500,RML,1996-01-02 to 2000-12-12
1996-02-08 00:00:00+00:00,12.65592098236084,25.75,25.75,25.5,25.5,185700,RML,1996-01-02 to 2000-12-12
1996-02-09 00:00:00+00:00,13.147419929504395,26.75,26.75,25.75,25.75,341100,RML,1996-01-02 to 2000-12-12
1996-02-12 00:00:00+00:00,13.208855628967285,26.875,27.0,26.625,26.875,299000,RML,1996-01-02 to 2000-12-12
1996-02-13 00:00:00+00:00,13.024548530578613,26.5,26.75,26.375,26.625,324400,RML,1996-01-02 to 2000-12-12
1996-02-14 00:00:00+00:00,13.27028751373291,27.0,27.5,26.875,26.875,531300,RML,1996-01-02 to 2000-12-12
1996-02-15 00:00:00+00:00,13.27028751373291,27.0,27.5,27.0,27.375,245700,RML,1996-01-02 to 2000-12-12
1996-02-16 00:00:00+00:00,13.147419929504395,26.75,26.875,26.375,26.875,138400,RML,1996-01-02 to 2000-12-12
1996-02-20 00:00:00+00:00,12.594490051269531,25.625,26.375,25.375,26.25,782900,RML,1996-01-02 to 2000-12-12
1996-02-21 00:00:00+00:00,12.778799057006836,26.0,26.0,25.5,25.5,441400,RML,1996-01-02 to 2000-12-12
1996-02-22 00:00:00+00:00,12.9016695022583,26.25,26.375,25.875,26.0,479000,RML,1996-01-02 to 2000-12-12
1996-02-23 00:00:00+00:00,13.085976600646973,26.625,27.0,26.375,26.5,269000,RML,1996-01-02 to 2000-12-12
1996-02-26 00:00:00+00:00,13.085976600646973,26.625,26.625,26.125,26.375,289300,RML,1996-01-02 to 2000-12-12
1996-02-27 00:00:00+00:00,12.65592098236084,25.75,26.625,25.75,26.625,911800,RML,1996-01-02 to 2000-12-12
1996-02-28 00:00:00+00:00,12.22586727142334,24.875,25.875,24.875,25.875,401200,RML,1996-01-02 to 2000-12-12
1996-02-29 00:00:00+00:00,12.333379745483398,25.09375,25.25,24.875,24.875,1137400,RML,1996-01-02 to 2000-12-12
1996-03-01 00:00:00+00:00,12.594490051269531,25.625,25.75,25.25,25.375,682700,RML,1996-01-02 to 2000-12-12
1996-03-04 00:00:00+00:00,13.331727981567383,27.125,27.25,25.75,25.75,1149400,RML,1996-01-02 to 2000-12-12
1996-03-05 00:00:00+00:00,13.282308578491211,26.875,27.125,26.75,26.875,479600,RML,1996-01-02 to 2000-12-12
1996-03-06 00:00:00+00:00,13.529415130615234,27.375,27.875,26.75,26.875,382500,RML,1996-01-02 to 2000-12-12
1996-03-07 00:00:00+00:00,13.467637062072754,27.25,27.625,27.125,27.625,267600,RML,1996-01-02 to 2000-12-12
1996-03-08 00:00:00+00:00,13.22053050994873,26.75,27.25,26.625,27.125,141200,RML,1996-01-02 to 2000-12-12
1996-03-11 00:00:00+00:00,13.405858039855957,27.125,27.375,26.375,26.625,454600,RML,1996-01-02 to 2000-12-12
1996-03-12 00:00:00+00:00,13.344080924987793,27.0,27.0,26.25,26.875,695600,RML,1996-01-02 to 2000-12-12
1996-03-13 00:00:00+00:00,13.344080924987793,27.0,27.125,26.875,27.125,211900,RML,1996-01-02 to 2000-12-12
1996-03-14 00:00:00+00:00,13.282308578491211,26.875,27.125,26.75,27.0,303100,RML,1996-01-02 to 2000-12-12
1996-03-15 00:00:00+00:00,13.529415130615234,27.375,27.625,26.875,26.875,285100,RML,1996-01-02 to 2000-12-12
1996-03-18 00:00:00+00:00,14.208972930908203,28.75,29.125,27.375,27.5,318000,RML,1996-01-02 to 2000-12-12
1996-03-19 00:00:00+00:00,13.714752197265625,27.75,28.375,27.75,28.25,396500,RML,1996-01-02 to 2000-12-12
1996-03-20 00:00:00+00:00,13.529415130615234,27.375,27.75,27.125,27.75,270100,RML,1996-01-02 to 2000-12-12
1996-03-21 00:00:00+00:00,13.344080924987793,27.0,27.375,26.875,27.375,349000,RML,1996-01-02 to 2000-12-12
1996-03-22 00:00:00+00:00,13.591193199157715,27.5,27.5,26.5,27.0,1195300,RML,1996-01-02 to 2000-12-12
1996-03-25 00:00:00+00:00,13.405858039855957,27.125,27.5,26.875,27.5,213600,RML,1996-01-02 to 2000-12-12
1996-03-26 00:00:00+00:00,13.344080924987793,27.0,27.125,26.75,27.0,320900,RML,1996-01-02 to 2000-12-12
1996-03-27 00:00:00+00:00,13.529415130615234,27.375,27.375,27.0,27.0,729800,RML,1996-01-02 to 2000-12-12
1996-03-28 00:00:00+00:00,13.405858039855957,27.125,27.25,27.125,27.25,105100,RML,1996-01-02 to 2000-12-12
1996-03-29 00:00:00+00:00,13.467637062072754,27.25,27.375,27.0,27.125,193900,RML,1996-01-02 to 2000-12-12
1996-04-01 00:00:00+00:00,13.529415130615234,27.375,27.5,26.875,27.375,169400,RML,1996-01-02 to 2000-12-12
1996-04-02 00:00:00+00:00,13.405858039855957,27.125,27.375,27.0,27.375,193200,RML,1996-01-02 to 2000-12-12
1996-04-03 00:00:00+00:00,13.096973419189453,26.5,27.0,26.25,27.0,375700,RML,1996-01-02 to 2000-12-12
1996-04-04 00:00:00+00:00,13.282308578491211,26.875,26.875,26.5,26.625,168600,RML,1996-01-02 to 2000-12-12
1996-04-08 00:00:00+00:00,13.035196304321289,26.375,26.375,25.875,26.375,170200,RML,1996-01-02 to 2000-12-12
1996-04-09 00:00:00+00:00,13.096973419189453,26.5,26.5,26.25,26.375,127100,RML,1996-01-02 to 2000-12-12
1996-04-10 00:00:00+00:00,13.096973419189453,26.5,26.5,26.25,26.375,335000,RML,1996-01-02 to 2000-12-12
1996-04-11 00:00:00+00:00,12.911636352539062,26.125,26.5625,25.75,26.5,351800,RML,1996-01-02 to 2000-12-12
1996-04-12 00:00:00+00:00,13.096973419189453,26.5,26.5,26.125,26.125,261900,RML,1996-01-02 to 2000-12-12
1996-04-15 00:00:00+00:00,13.591193199157715,27.5,27.5,26.875,27.0,511100,RML,1996-01-02 to 2000-12-12
1996-04-16 00:00:00+00:00,13.776531219482422,27.875,28.375,27.75,28.125,448600,RML,1996-01-02 to 2000-12-12
1996-04-17 00:00:00+00:00,13.961860656738281,28.25,28.25,27.375,27.875,1038100,RML,1996-01-02 to 2000-12-12
1996-04-18 00:00:00+00:00,14.147195816040039,28.625,28.875,28.125,28.375,323300,RML,1996-01-02 to 2000-12-12
1996-04-19 00:00:00+00:00,14.085419654846191,28.5,28.875,28.375,28.625,419600,RML,1996-01-02 to 2000-12-12
1996-04-22 00:00:00+00:00,13.838302612304688,28.0,28.5,27.75,28.5,431200,RML,1996-01-02 to 2000-12-12
1996-04-23 00:00:00+00:00,14.208972930908203,28.75,28.875,28.0,28.0,398500,RML,1996-01-02 to 2000-12-12
1996-04-24 00:00:00+00:00,14.579642295837402,29.5,29.5,28.625,28.625,374000,RML,1996-01-02 to 2000-12-12
1996-04-25 00:00:00+00:00,14.208972930908203,28.75,29.25,28.5625,29.25,237500,RML,1996-01-02 to 2000-12-12
1996-04-26 00:00:00+00:00,14.208972930908203,28.75,29.0,28.75,28.75,188700,RML,1996-01-02 to 2000-12-12
1996-04-29 00:00:00+00:00,14.270755767822266,28.875,29.0,28.75,28.875,94400,RML,1996-01-02 to 2000-12-12
1996-04-30 00:00:00+00:00,14.270755767822266,28.875,29.125,28.75,28.875,403100,RML,1996-01-02 to 2000-12-12
1996-05-01 00:00:00+00:00,14.394308090209961,29.125,29.125,28.875,29.0,295200,RML,1996-01-02 to 2000-12-12
1996-05-02 00:00:00+00:00,14.33253002166748,29.0,29.125,28.625,29.125,316400,RML,1996-01-02 to 2000-12-12
1996-05-03 00:00:00+00:00,14.147195816040039,28.625,28.875,28.375,28.875,592600,RML,1996-01-02 to 2000-12-12
1996-05-06 00:00:00+00:00,14.147195816040039,28.625,28.625,28.375,28.5,236600,RML,1996-01-02 to 2000-12-12
1996-05-07 00:00:00+00:00,14.085419654846191,28.5,28.5,28.25,28.5,390800,RML,1996-01-02 to 2000-12-12
1996-05-08 00:00:00+00:00,14.085419654846191,28.5,28.5,28.25,28.375,221700,RML,1996-01-02 to 2000-12-12
1996-05-09 00:00:00+00:00,13.961860656738281,28.25,28.5,28.125,28.375,365900,RML,1996-01-02 to 2000-12-12
1996-05-10 00:00:00+00:00,13.961860656738281,28.25,28.375,28.125,28.375,593900,RML,1996-01-02 to 2000-12-12
1996-05-13 00:00:00+00:00,14.085419654846191,28.5,28.5,28.125,28.25,196400,RML,1996-01-02 to 2000-12-12
1996-05-14 00:00:00+00:00,14.085419654846191,28.5,28.5,28.375,28.5,390700,RML,1996-01-02 to 2000-12-12
1996-05-15 00:00:00+00:00,14.33253002166748,29.0,29.125,28.375,28.5,424100,RML,1996-01-02 to 2000-12-12
1996-05-16 00:00:00+00:00,14.33253002166748,29.0,29.0,28.75,28.75,373400,RML,1996-01-02 to 2000-12-12
1996-05-17 00:00:00+00:00,14.33253002166748,29.0,29.125,29.0,29.0,273200,RML,1996-01-02 to 2000-12-12
1996-05-20 00:00:00+00:00,14.33253002166748,29.0,29.0,28.75,28.75,163400,RML,1996-01-02 to 2000-12-12
1996-05-21 00:00:00+00:00,14.33253002166748,29.0,29.0,28.875,29.0,260300,RML,1996-01-02 to 2000-12-12
